id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_7d_in_currency
filecoin,fil,Filecoin,https://assets.coingecko.com/coins/images/12817/large/filecoin.png?1696512609,6.19,3067048175,33,12206374714.0,517193939.0,6.39,5.4,0.789294,14.62287,401291190.0,15.05355,492727829.0,1960980125.0,1960980125.0,236.84,-97.38414,2021-04-01T13:29:41.564Z,2.64,134.58853,2022-12-16T22:45:28.552Z,,2024-01-11T15:41:52.289Z,-1.6482070849577721,14.622871092398784,-4.364069455241718
immutable-x,imx,Immutable,https://assets.coingecko.com/coins/images/17233/large/immutableX-symbol-BLK-RGB.png?1696516787,2.19,2899718783,34,4386901258.0,138438368.0,2.27,1.91,0.274107,14.28131,360338376.0,14.19001,1321989537.490024,2000000000.0,2000000000.0,9.52,-76.77149,2021-11-26T01:03:01.536Z,0.378055,484.92569,2022-12-31T07:36:37.649Z,,2024-01-11T15:41:45.403Z,-3.2720261215321194,14.281312098704271,-0.6731698129612855
hedera-hashgraph,hbar,Hedera,https://assets.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.085467,2875884156,36,4273357150.0,127881878.0,0.087274,0.076245,0.00920205,12.06588,305018798.0,11.86444,33649003052.3707,50000000000.0,50000000000.0,0.569229,-84.91779,2021-09-15T10:40:28.318Z,0.00986111,770.61503,2020-01-02T17:30:24.852Z,,2024-01-11T15:41:36.908Z,-1.6353242466503006,12.065876779834174,-3.2255517454411313
aptos,apt,Aptos,https://assets.coingecko.com/coins/images/26455/large/aptos_round.png?1696525528,9.22,2866834138,37,9963366386.0,299251878.0,9.56,8.22,0.987403,11.98995,314774438.0,12.33413,309356996.314428,1075136178.11554,,19.92,-53.50439,2023-01-26T14:25:17.390Z,3.08,200.73783,2022-12-29T21:35:14.796Z,,2024-01-11T15:41:57.653Z,-1.6175148932751664,11.989951322081728,-15.039199244681114
arbitrum,arb,Arbitrum,https://assets.coingecko.com/coins/images/16547/large/photo_2023-03-29_21.47.00.jpeg?1696516109,2.24,2857720385,35,22413493213.0,2635173543.0,2.36,1.98,0.232458,11.5828,299038477.0,11.68721,1275000000.0,10000000000.0,10000000000.0,2.36,-3.41243,2024-01-11T01:05:33.958Z,0.744925,205.80157,2023-09-11T19:40:49.196Z,,2024-01-11T15:42:12.411Z,-0.49661871548157693,11.582798435693736,13.185491080530126
kaspa,kas,Kaspa,https://assets.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837,0.128073,2852580923,38,2852558753.0,65140475.0,0.129105,0.112066,0.01545765,13.72605,345679493.0,13.78911,22273073093.0934,22272899992.5406,28704026601.0,0.152699,-16.84183,2023-11-19T21:34:58.238Z,0.00017105,74136.9787,2022-05-26T14:42:59.316Z,,2024-01-11T15:41:24.381Z,1.3174545940056352,13.726047514637171,20.639858229848638
monero,xmr,Monero,https://assets.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,152.53,2778879173,39,,142854949.0,154.4,145.89,3.4,2.28032,72532500.0,2.68009,18147820.3764146,,,542.33,-71.76729,2018-01-09T00:00:00.000Z,0.216177,70727.80375,2015-01-14T00:00:00.000Z,,2024-01-11T15:41:50.869Z,-1.057169104049474,2.2803185405445143,-5.365331668429375
blockstack,stx,Stacks,https://assets.coingecko.com/coins/images/2069/large/Stacks_logo_full.png?1696503035,1.86,2671530472,40,3392915233.0,525994794.0,1.97,1.7,0.159173,9.37718,239769932.0,9.85993,1431465882.07327,1818000000.0,1818000000.0,3.39,-44.94129,2021-12-01T01:32:34.725Z,0.04559639,3993.06507,2020-03-13T02:29:26.415Z,"{'times': 14.4718424029394, 'currency': 'usd', 'percentage': 1447.18424029394}",2024-01-11T15:41:48.126Z,-4.52649776688483,9.377175145073274,12.71057863206559
mantle,mnt,Mantle,https://assets.coingecko.com/coins/images/30980/large/token-logo.png?1696529819,0.812473,2540962660,42,5053028142.0,573717866.0,0.849137,0.678905,0.133569,19.67413,415886467.0,19.57043,3127441863.03314,6219316794.99,6219316794.99,0.849137,-4.49984,2024-01-11T13:25:10.126Z,0.307978,163.3074,2023-10-18T02:50:46.942Z,,2024-01-11T15:41:31.631Z,-0.019590180261471524,19.674132733296553,35.827093808237606
celestia,tia,Celestia,https://assets.coingecko.com/coins/images/31967/large/tia.jpg?1696530772,15.97,2518136396,41,16306923911.0,483885756.0,17.19,14.28,1.67,11.69033,432758265.0,20.75203,156824349.667752,1015561643.83556,,17.19,-5.54066,2024-01-11T13:00:51.009Z,2.08,679.44742,2023-10-31T15:14:31.951Z,,2024-01-11T15:41:55.616Z,-4.547582906500726,11.690334376817068,3.2153208248937513
